iter	Passed	Remaining
0	185	185494
1	203	101693
2	220	73440
3	238	59414
4	254	50731
5	271	44911
6	290	41154
7	330	40983
8	348	38339
9	383	37918
10	473	42541
11	543	44771
12	597	45398
13	632	44541
14	678	44573
15	706	43420
16	728	42118
17	744	40616
18	762	39373
19	789	38686
20	808	37670
21	824	36668
22	841	35737
23	1043	42417
24	1412	55070
25	1537	57586
26	1629	58739
27	1691	58725
28	1733	58026
29	1777	57468
30	1809	56548
31	1831	55395
32	1978	57986
33	2006	57020
34	2028	55934
35	2054	55020
36	2113	54995
37	2188	55405
38	2210	54478
39	2237	53688
40	2256	52768
41	2273	51865
42	2290	50979
43	2307	50145
44	2321	49269
45	2336	48462
46	2350	47658
47	2366	46941
48	2381	46219
49	2406	45725
50	2429	45203
51	2484	45292
52	2502	44719
53	2522	44188
54	2548	43794
55	2568	43294
56	2587	42799
57	2606	42340
58	2626	41885
59	2641	41375
60	2655	40875
61	2669	40388
62	2683	39917
63	2701	39510
64	2718	39110
65	2734	38697
66	2749	38290
67	2768	37949
68	2799	37771
69	2814	37386
70	2829	37023
71	2845	36670
72	2859	36310
73	2878	36017
74	2898	35746
75	2913	35416
76	2926	35074
77	2942	34782
78	2965	34567
79	2983	34305
80	3000	34041
81	3017	33782
82	3032	33504
83	3047	33228
84	3061	32955
85	3073	32669
86	3119	32731
87	3298	34187
88	3652	37388
89	3816	38585
90	3878	38743
91	3903	38530
92	3935	38381
93	4015	38698
94	4102	39083
95	4165	39222
96	4186	38977
97	4212	38772
98	4237	38562
99	4264	38376
100	4282	38120
101	4298	37846
102	4319	37620
103	4336	37359
104	4353	37112
105	4378	36924
106	4400	36723
107	4417	36487
108	4446	36344
109	4465	36131
110	4483	35905
111	4508	35742
112	4520	35481
113	4542	35300
114	4558	35083
115	4577	34885
116	4599	34711
117	4624	34568
118	4645	34391
119	4664	34209
120	4686	34045
121	4699	33824
122	4724	33684
123	4746	33533
124	4764	33349
125	4782	33171
126	4799	32990
127	4819	32830
128	4839	32676
129	4857	32507
130	4876	32348
131	4895	32190
132	4912	32020
133	4934	31889
134	4948	31708
135	4965	31547
136	4989	31427
137	5009	31288
138	5028	31150
139	5049	31017
140	5060	30831
141	5075	30665
142	5088	30496
143	5103	30339
144	5119	30188
145	5136	30045
146	5177	30043
147	5237	30151
148	5283	30178
149	5312	30103
150	5332	29980
151	5351	29855
152	5372	29742
153	5404	29689
154	5429	29600
155	5449	29481
156	5464	29340
157	5479	29200
158	5493	29058
159	5514	28952
160	5533	28838
161	5547	28697
162	5560	28550
163	5574	28417
164	5589	28285
165	5606	28167
166	5621	28042
167	5637	27918
168	5652	27792
169	5675	27707
170	5691	27590
171	5705	27467
172	5721	27349
173	5735	27225
174	5747	27094
175	5768	27006
176	5789	26918
177	5811	26836
178	5835	26763
179	5853	26667
180	5875	26588
181	5890	26477
182	5912	26397
183	5928	26289
184	5943	26183
185	5962	26092
186	5977	25989
187	5990	25874
188	6005	25769
189	6017	25651
190	6031	25546
191	6045	25440
192	6058	25334
193	6072	25228
194	6084	25117
195	6098	25018
196	6116	24931
197	6130	24833
198	6145	24734
199	6164	24658
200	6183	24579
201	6202	24502
202	6218	24414
203	6231	24314
204	6245	24218
205	6257	24120
206	6270	24020
207	6282	23922
208	6295	23825
209	6311	23744
210	6324	23648
211	6339	23562
212	6354	23479
213	6370	23397
214	6382	23303
215	6395	23212
216	6411	23133
217	6423	23043
218	6441	22972
219	6457	22893
220	6474	22820
221	6493	22758
222	6520	22717
223	6536	22645
224	6556	22583
225	6577	22528
226	6595	22458
227	6609	22380
228	6625	22307
229	6639	22229
230	6666	22192
231	6683	22125
232	6703	22066
233	6786	22214
234	6842	22274
235	6952	22508
236	7018	22595
237	7089	22696
238	7172	22838
239	7323	23191
240	7579	23872
241	7739	24241
242	7841	24428
243	7899	24474
244	7985	24608
245	8057	24696
246	8095	24681
247	8156	24732
248	8203	24741
249	8249	24749
250	8305	24783
251	8368	24839
252	8452	24955
253	8493	24945
254	8515	24879
255	8542	24825
256	8566	24765
257	8584	24688
258	8603	24615
259	8637	24583
260	8655	24507
261	8671	24426
262	8705	24394
263	8717	24304
264	8742	24248
265	8767	24193
266	8798	24154
267	8821	24094
268	8859	24074
269	8874	23992
270	8888	23911
271	8900	23821
272	8911	23731
273	8925	23649
274	8936	23561
275	8948	23474
276	8960	23387
277	8972	23302
278	8984	23217
279	8997	23136
280	9012	23060
281	9024	22976
282	9035	22891
283	9047	22810
284	9060	22729
285	9072	22648
286	9082	22564
287	9096	22488
288	9108	22408
289	9120	22329
290	9131	22248
291	9144	22171
292	9155	22092
293	9167	22014
294	9179	21937
295	9192	21862
296	9204	21787
297	9218	21716
298	9235	21651
299	9249	21581
300	9265	21516
301	9282	21454
302	9296	21385
303	9308	21312
304	9323	21245
305	9343	21190
306	9374	21161
307	9424	21173
308	9443	21118
309	9459	21055
310	9476	20993
311	9494	20936
312	9509	20872
313	9522	20804
314	9537	20741
315	9556	20685
316	9575	20630
317	9592	20572
318	9613	20522
319	9631	20467
320	9649	20412
321	9664	20349
322	9687	20303
323	9718	20276
324	9733	20214
325	9746	20150
326	9759	20085
327	9771	20020
328	9782	19952
329	9794	19885
330	9811	19829
331	9823	19765
332	9834	19699
333	9847	19636
334	9858	19569
335	9870	19506
336	9883	19444
337	9898	19387
338	9915	19334
339	9927	19270
340	9941	19212
341	9954	19152
342	9966	19089
343	9979	19029
344	9991	18968
345	10003	18907
346	10018	18853
347	10034	18800
348	10052	18751
349	10073	18707
350	10086	18650
351	10099	18592
352	10111	18533
353	10124	18475
354	10136	18417
355	10148	18359
356	10161	18302
357	10175	18246
358	10187	18190
359	10203	18139
360	10218	18088
361	10230	18030
362	10242	17973
363	10253	17916
364	10265	17859
365	10278	17804
366	10289	17746
367	10300	17690
368	10312	17635
369	10323	17577
370	10336	17524
371	10350	17473
372	10364	17423
373	10378	17371
374	10392	17321
375	10410	17276
376	10427	17230
377	10444	17185
378	10459	17138
379	10474	17089
380	10487	17038
381	10502	16991
382	10517	16942
383	10532	16895
384	10546	16846
385	10559	16796
386	10571	16745
387	10582	16692
388	10594	16640
389	10611	16598
390	10659	16602
391	10712	16614
392	10733	16578
393	10751	16536
394	10776	16505
395	10798	16470
396	10849	16479
397	10890	16472
398	10904	16425
399	10916	16375
400	10930	16327
401	10942	16277
402	10956	16230
403	10967	16179
404	10983	16136
405	10996	16089
406	11010	16042
407	11022	15994
408	11035	15946
409	11046	15895
410	11058	15848
411	11071	15801
412	11083	15753
413	11097	15707
414	11110	15661
415	11122	15614
416	11137	15570
417	11151	15526
418	11161	15477
419	11174	15431
420	11186	15384
421	11203	15344
422	11217	15301
423	11238	15267
424	11256	15228
425	11271	15187
426	11284	15143
427	11296	15096
428	11309	15052
429	11320	15006
430	11333	14962
431	11345	14917
432	11357	14872
433	11371	14829
434	11382	14784
435	11394	14739
436	11407	14696
437	11418	14650
438	11431	14608
439	11443	14564
440	11455	14521
441	11467	14477
442	11479	14433
443	11491	14389
444	11505	14349
445	11517	14306
446	11530	14264
447	11540	14219
448	11552	14176
449	11563	14133
450	11579	14095
451	11593	14055
452	11609	14018
453	11632	13989
454	11650	13954
455	11663	13913
456	11675	13872
457	11690	13834
458	11703	13794
459	11717	13755
460	11730	13714
461	11741	13672
462	11752	13630
463	11766	13591
464	11777	13550
465	11789	13509
466	11801	13469
467	11813	13429
468	11826	13390
469	11839	13350
470	11852	13311
471	11863	13270
472	11874	13230
473	11888	13192
474	11902	13155
475	11915	13116
476	11946	13098
477	11964	13066
478	11981	13031
479	12010	13011
480	12036	12986
481	12057	12958
482	12087	12938
483	12112	12913
484	12133	12884
485	12147	12847
486	12158	12807
487	12170	12768
488	12183	12731
489	12195	12693
490	12207	12655
491	12218	12615
492	12230	12578
493	12242	12540
494	12253	12500
495	12264	12462
496	12276	12425
497	12292	12391
498	12305	12354
499	12318	12318
500	12338	12289
501	12354	12256
502	12369	12222
503	12385	12188
504	12399	12154
505	12417	12122
506	12436	12092
507	12459	12066
508	12479	12038
509	12496	12006
510	12511	11972
511	12527	11940
512	12544	11908
513	12558	11874
514	12573	11841
515	12590	11809
516	12606	11777
517	12623	11746
518	12640	11715
519	12655	11681
520	12672	11650
521	12688	11619
522	12708	11590
523	12723	11558
524	12739	11526
525	12758	11497
526	12773	11464
527	12788	11432
528	12805	11401
529	12822	11370
530	12844	11344
531	12864	11316
532	12881	11286
533	12897	11255
534	12913	11223
535	12929	11192
536	12945	11161
537	12961	11130
538	12979	11100
539	12992	11067
540	13009	11037
541	13023	11005
542	13052	10984
543	13071	10957
544	13088	10926
545	13115	10905
546	13130	10874
547	13146	10843
548	13160	10811
549	13175	10780
550	13192	10750
551	13215	10725
552	13234	10697
553	13261	10675
554	13277	10645
555	13292	10615
556	13308	10584
557	13322	10552
558	13336	10521
559	13352	10491
560	13367	10460
561	13384	10431
562	13405	10405
563	13422	10376
564	13439	10347
565	13454	10316
566	13468	10285
567	13486	10257
568	13525	10244
569	13541	10215
570	13555	10184
571	13579	10161
572	13594	10130
573	13610	10101
574	13630	10074
575	13647	10045
576	13667	10019
577	13684	9991
578	13703	9963
579	13719	9934
580	13734	9904
581	13748	9874
582	13762	9843
583	13777	9814
584	13793	9784
585	13806	9754
586	13821	9724
587	13836	9695
588	13852	9665
589	13869	9638
590	13889	9612
591	13909	9586
592	13924	9556
593	13938	9526
594	13952	9497
595	13966	9467
596	13980	9437
597	13995	9408
598	14014	9381
599	14034	9356
